"","year","iso3c","sector","co2e_emissions"
"204",2010,"ABW","Other industrial combustion",0.03380271159958
"205",2010,"ABW","Other sectors",0.045323598565322
"206",2011,"ABW","Power Industry",0.46817037907096
"207",2011,"ABW","Buildings",0.083240156972708
"208",2011,"ABW","Transport",0.28525824134875
"209",2011,"ABW","Other industrial combustion",0.051578267200576
"210",2011,"ABW","Other sectors",0.044322113507178
"211",2012,"ABW","Power Industry",0.58017349374508
"212",2012,"ABW","Buildings",0.141564976222376
"213",2012,"ABW","Transport",0.381659244555584
"214",2012,"ABW","Other industrial combustion",0.07311047851132
"215",2012,"ABW","Other sectors",0.041051063214664
"216",2013,"ABW","Power Industry",0.56591662258108
"217",2013,"ABW","Buildings",0.173673379515886
"218",2013,"ABW","Transport",0.38326935818753
"219",2013,"ABW","Other industrial combustion",0.081245472715476
"220",2013,"ABW","Other sectors",0.039302079620006
"221",2014,"ABW","Power Industry",0.5620197069959
"222",2014,"ABW","Buildings",0.150696134415316
"223",2014,"ABW","Transport",0.393808207988372
"224",2014,"ABW","Other industrial combustion",0.074133361048664
"225",2014,"ABW","Other sectors",0.03948084046191
"226",2015,"ABW","Power Industry",0.5761182799935
"227",2015,"ABW","Buildings",0.14665562194172
"228",2015,"ABW","Transport",0.388551078035714
"229",2015,"ABW","Other industrial combustion",0.068867372965408
"230",2015,"ABW","Other sectors",0.039585111924198
"231",2016,"ABW","Power Industry",0.54462230127556
"232",2016,"ABW","Buildings",0.153383921509064
"233",2016,"ABW","Transport",0.366842703728798
"234",2016,"ABW","Other industrial combustion",0.06032992721342
"235",2016,"ABW","Other sectors",0.039258630854096
"236",2017,"ABW","Power Industry",0.33245952428316
"237",2017,"ABW","Buildings",0.1528003250986
"238",2017,"ABW","Transport",0.362858728976518
"239",2017,"ABW","Other industrial combustion",0.059685163064636
"240",2017,"ABW","Other sectors",0.038201228638032
"241",2018,"ABW","Power Industry",0.32285652667196
"242",2018,"ABW","Buildings",0.14838671473
"243",2018,"ABW","Transport",0.352376270484246
"244",2018,"ABW","Other industrial combustion",0.057961148333892
"245",2018,"ABW","Other sectors",0.03821620703062
"246",1970,"AFG","Power Industry",0.05582526426862
"247",1970,"AFG","Buildings",0.81687408852224
"248",1970,"AFG","Transport",0.2341863404061
"249",1970,"AFG","Other industrial combustion",0.10299328265392
"250",1970,"AFG","Other sectors",15.0597818503328
"251",1971,"AFG","Power Industry",0.05582533732666
"252",1971,"AFG","Buildings",0.81745399492224
"253",1971,"AFG","Transport",0.2341863404061
"254",1971,"AFG","Other industrial combustion",0.10299328265392
"255",1971,"AFG","Other sectors",15.0027068836772
"256",1972,"AFG","Power Industry",0.11455231922042
"257",1972,"AFG","Buildings",0.63474275916222
"258",1972,"AFG","Transport",0.2709759168307
"259",1972,"AFG","Other industrial combustion",0.09578234175656
"260",1972,"AFG","Other sectors",13.2071984152308
"261",1973,"AFG","Power Industry",0.17144776873424
"262",1973,"AFG","Buildings",0.75824947538304
"263",1973,"AFG","Transport",0.2414897265252
"264",1973,"AFG","Other industrial combustion",0.097290134155254
"265",1973,"AFG","Other sectors",13.632157403376
"266",1974,"AFG","Power Industry",0.20270787137024
"267",1974,"AFG","Buildings",0.98774740647124
"268",1974,"AFG","Transport",0.2430770032699
"269",1974,"AFG","Other industrial combustion",0.10685275296648
"270",1974,"AFG","Other sectors",14.6385221312206
"271",1975,"AFG","Power Industry",0.20650943521474
"272",1975,"AFG","Buildings",0.84608119973138
"273",1975,"AFG","Transport",0.2937108868342
"274",1975,"AFG","Other industrial combustion",0.113012825498334
"275",1975,"AFG","Other sectors",15.401968375754
"276",1976,"AFG","Power Industry",0.23617133548334
"277",1976,"AFG","Buildings",0.64379080484786
"278",1976,"AFG","Transport",0.24420060292055
"279",1976,"AFG","Other industrial combustion",0.117461365017134
"280",1976,"AFG","Other sectors",15.6034974144196
"281",1977,"AFG","Power Industry",0.36825543229062
"282",1977,"AFG","Buildings",0.70996530215162
"283",1977,"AFG","Transport",0.29867983903025
"284",1977,"AFG","Other industrial combustion",0.1510364022685
"285",1977,"AFG","Other sectors",15.4936196483762
"286",1978,"AFG","Power Industry",0.26830527661142
"287",1978,"AFG","Buildings",0.57378224525802
"288",1978,"AFG","Transport",0.3025166753625
"289",1978,"AFG","Other industrial combustion",0.1606864688355
"290",1978,"AFG","Other sectors",15.2534152384194
"291",1979,"AFG","Power Industry",0.2956293376568
"292",1979,"AFG","Buildings",0.69451303051102
"293",1979,"AFG","Transport",0.3531382819051
"294",1979,"AFG","Other industrial combustion",0.18150921847886
"295",1979,"AFG","Other sectors",14.8998619506434
"296",1980,"AFG","Power Industry",0.304657278583
"297",1980,"AFG","Buildings",0.57315725484614
"298",1980,"AFG","Transport",0.3140432322634
"299",1980,"AFG","Other industrial combustion",0.1851783752554
"300",1980,"AFG","Other sectors",15.0181128708024
"301",1981,"AFG","Power Industry",0.3565124708558
"302",1981,"AFG","Buildings",0.659453999180494
"303",1981,"AFG","Transport",0.48506666318849
"304",1981,"AFG","Other industrial combustion",0.26855856838066
"305",1981,"AFG","Other sectors",14.8389111513116
"306",1982,"AFG","Power Industry",0.3542896685198
"307",1982,"AFG","Buildings",0.743104929880567
"308",1982,"AFG","Transport",0.39533830404055
"309",1982,"AFG","Other industrial combustion",0.22991122682978
"310",1982,"AFG","Other sectors",14.7659908349558
"311",1983,"AFG","Power Industry",0.497352720839
"312",1983,"AFG","Buildings",1.15110996423248
"313",1983,"AFG","Transport",0.5596931457048
"314",1983,"AFG","Other industrial combustion",0.24444356404314
"315",1983,"AFG","Other sectors",14.062698496388
"316",1984,"AFG","Power Industry",0.4514635124667
"317",1984,"AFG","Buildings",1.28831108802724
"318",1984,"AFG","Transport",0.55463379850641
"319",1984,"AFG","Other industrial combustion",0.2644005752923
"320",1984,"AFG","Other sectors",12.9097138205332
"321",1985,"AFG","Power Industry",0.629505883006
"322",1985,"AFG","Buildings",1.69578680461382
"323",1985,"AFG","Transport",0.72626058360245
"324",1985,"AFG","Other industrial combustion",0.42222657299212
"325",1985,"AFG","Other sectors",11.9978766764094
"326",1986,"AFG","Power Industry",0.662393801792
"327",1986,"AFG","Buildings",0.36886111435852
"328",1986,"AFG","Transport",0.5883112808781
"329",1986,"AFG","Other industrial combustion",0.4339619732454
"330",1986,"AFG","Other sectors",10.4786311736032
"331",1987,"AFG","Power Industry",0.7172264975068
"332",1987,"AFG","Buildings",0.46694302381096
"333",1987,"AFG","Transport",0.6820736722543
"334",1987,"AFG","Other industrial combustion",0.45396515555418
"335",1987,"AFG","Other sectors",10.6461928844276
