"","sector","year","co2e_emissions","sector_number"
"388","2.B.7.     Produção de carbonato de sódio",1992,0,2
"389","2.B.8.     Produção de petroquímica e negro de fumo",1992,3.7346246828626,2
"390","2.B.9.     Produção de fluoroquímicos",1992,2.02864,2
"391","2.C.   Indústria Metalúrgica",1992,32.3192520233662,2
"392","2.C.1.     Produção de ferro e aço",1992,27.1847383788739,2
"393","2.C.2.     Produção de ferroligas",1992,0.214727464,2
"394","2.C.3.     Produção de alumínio",1992,4.72028977180104,2
"395","2.C.4.     Produção de magnésio",1992,0.199496408691283,2
"396","2.C.7.     Outros não-ferrosos, fora alumínio e magnésio",1992,0,2
"397","2.D.   Produtos Não Energéticos de Combustíveis e Solventes",1992,0.38337270914708,2
"398","2.E.   Indústria Eletrônica",1992,0,2
"399","2.F.   Usos de Produtos como Substitutos para Substâncias Destruidoras da Camada de Ozônio",1992,0,2
"400","2.G.   Fabricação e Uso de Outros Produtos",1992,0.12266436,2
"401","2.H.   Outros",1992,0,2
"402","2.H.1.     Indústria de papel e celulose",1992,0,2
"403","2.H.2.     Indústria de alimentos e bebidas",1992,0,2
