"","year","iso3c","gdp"
"403",2040,"CHL",626320100000
"404",2041,"CHL",6.32772e+11
"405",2042,"CHL",639025200000
"406",2043,"CHL",645094300000
"407",2044,"CHL",650993300000
"408",2045,"CHL",656737700000
"409",2046,"CHL",662343400000
"410",2047,"CHL",667818100000
"411",2048,"CHL",673169500000
"412",2049,"CHL",678402700000
"413",2050,"CHL",683525900000
"414",2051,"CHL",688552700000
"415",2052,"CHL",693495500000
"416",2053,"CHL",698364300000
"417",2054,"CHL",703170700000
"418",2055,"CHL",707932400000
"419",2056,"CHL",712673600000
"420",2057,"CHL",717403200000
"421",2058,"CHL",722139400000
"422",2059,"CHL",726903100000
"423",2060,"CHL",731720600000
"424",1990,"CHN",1654607177819.56
"425",1991,"CHN",1806482523305.27
"426",1992,"CHN",2063738395616.48
"427",1993,"CHN",2350262247924.04
"428",1994,"CHN",2656661392483.79
"429",1995,"CHN",2947670868384.87
"430",1996,"CHN",3240155183103.58
"431",1997,"CHN",3539441185461.28
"432",1998,"CHN",3817144034507.98
"433",1999,"CHN",4109600307685.02
"434",2000,"CHN",4458509212585.12
"435",2001,"CHN",4830158657727.47
"436",2002,"CHN",5271327516095.51
"437",2003,"CHN",5800464978861.81
"438",2004,"CHN",6387102045103.39
"439",2005,"CHN",7114886251631.08
"440",2006,"CHN",8019967777672
"441",2007,"CHN",9161278238743.31
"442",2008,"CHN",10045403786532.3
"443",2009,"CHN",10989543726854.1
"444",2010,"CHN",12158377427724.6
"445",2011,"CHN",13319603651657.5
"446",2012,"CHN",14367022179008.5
"447",2013,"CHN",15482786686330.6
"448",2014,"CHN",16632501833639.4
"449",2015,"CHN",17796776961994.2
"450",2016,"CHN",19006957795409.8
"451",2017,"CHN",20318437883293.1
"452",2018,"CHN",21679773221473.7
"453",2019,"CHN",22980559614762.1
"454",2020,"CHN",23509112485901.6
"455",2021,"CHN",25514667152519.3
"456",2022,"CHN",26995184572743
"457",2023,"CHN",2.832623e+13
"458",2024,"CHN",2.959643e+13
"459",2025,"CHN",3.084774e+13
"460",2026,"CHN",3.209055e+13
"461",2027,"CHN",3.332816e+13
