"","year","code_state","level_one","level_two","emissions_type","co2e_emissions"
"176",1981,"BR","Processos Industriais","Produtos Minerais","net",14205498.588887
"177",1981,"BR","Processos Industriais","Uso de SF6","net",0
"178",1981,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"179",1981,"BR","Resíduos","Resíduos Sólidos","net",3708213.28382723
"180",1981,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",12991984.1264515
"181",1982,"BR","Agropecuária","Cultivo de Arroz","net",8252614.42264
"182",1982,"BR","Agropecuária","Fermentação Entérica","net",237221790.47448
"183",1982,"BR","Agropecuária","Manejo de Dejetos Animais","net",14478146.91122
"184",1982,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1487439.92385
"185",1982,"BR","Agropecuária","Solos Manejados","net",66602610.85379
"186",1982,"BR","Energia","Emissões Fugitivas","net",8508730.6532958
"187",1982,"BR","Energia","Emissões pela Queima de Combustíveis","net",171355740.384788
"188",1982,"BR","Processos Industriais","Emissões de HFCs","net",0
"189",1982,"BR","Processos Industriais","Indústria Química","net",5519334.41796787
"190",1982,"BR","Processos Industriais","Produção de Metais","net",16034064.9105742
"191",1982,"BR","Processos Industriais","Produtos Minerais","net",14080821.6378134
"192",1982,"BR","Processos Industriais","Uso de SF6","net",0
"193",1982,"BR","Processos Industriais","Uso Não-Energético de Combustíveis e Uso de Solventes","net",0
"194",1982,"BR","Resíduos","Resíduos Sólidos","net",4273256.21584739
"195",1982,"BR","Resíduos","Tratamento de Efluentes Liquidos","net",13293873.9393896
"196",1983,"BR","Agropecuária","Cultivo de Arroz","net",8638456.84828
"197",1983,"BR","Agropecuária","Fermentação Entérica","net",238507165.94936
"198",1983,"BR","Agropecuária","Manejo de Dejetos Animais","net",14262069.63176
"199",1983,"BR","Agropecuária","Queima de Resíduos Agrícolas","net",1672211.18043
"200",1983,"BR","Agropecuária","Solos Manejados","net",66190320.69143
"201",1983,"BR","Energia","Emissões Fugitivas","net",8968412.59417555
"202",1983,"BR","Energia","Emissões pela Queima de Combustíveis","net",158635445.967983
"203",1983,"BR","Processos Industriais","Emissões de HFCs","net",0
"204",1983,"BR","Processos Industriais","Indústria Química","net",6264911.50125346
