"","year","iso3c","gdp","continent"
"553",1962,"MDG",4332696341.41394,"Africa"
"554",1962,"MDV",NA,"Asia"
"555",1962,"MEX",155328934667.195,"Americas"
"556",1962,"MHL",NA,"Oceania"
"557",1962,"MKD",NA,"Europe"
"558",1962,"MLI",NA,"Africa"
"559",1962,"MLT",NA,"Europe"
"560",1962,"MMR",3295106647.11774,"Asia"
"561",1962,"MNE",NA,"Europe"
"562",1962,"MNG",NA,"Asia"
"563",1962,"MNP",NA,"Oceania"
"564",1962,"MOZ",NA,"Africa"
"565",1962,"MRT",1072459515.72402,"Africa"
"566",1962,"MUS",NA,"Africa"
"567",1962,"MWI",709157403.624304,"Africa"
"568",1962,"MYS",11536613184.2457,"Asia"
"569",1962,"NAM",NA,"Africa"
"570",1962,"NCL",NA,"Oceania"
"571",1962,"NER",3000116619.60562,"Africa"
"572",1962,"NGA",67509829320.9721,"Africa"
"573",1962,"NIC",3553060441.91004,"Americas"
"574",1962,"NLD",175663206857.275,"Europe"
"575",1962,"NOR",74871540640.0627,"Europe"
"576",1962,"NPL",3447314854.82201,"Asia"
"577",1962,"NRU",NA,"Oceania"
"578",1962,"NZL",NA,"Oceania"
"579",1962,"OMN",NA,"Asia"
"580",1962,"PAK",18883044137.7017,"Asia"
"581",1962,"PAN",3684852236.08667,"Americas"
"582",1962,"PER",32500557413.8627,"Americas"
"583",1962,"PHL",34735216308.374,"Asia"
"584",1962,"PLW",NA,"Oceania"
"585",1962,"PNG",2957815476.34432,"Oceania"
"586",1962,"POL",NA,"Europe"
"587",1962,"PRI",17245287423.6484,"Americas"
"588",1962,"PRK",NA,"Asia"
"589",1962,"PRT",39201069181.9967,"Europe"
"590",1962,"PRY",3136866599.04762,"Americas"
"591",1962,"PSE",NA,"Asia"
"592",1962,"PYF",NA,"Oceania"
"593",1962,"QAT",NA,"Asia"
"594",1962,"ROU",NA,"Europe"
"595",1962,"RUS",NA,"Europe"
"596",1962,"RWA",1079600069.24412,"Africa"
"597",1962,"SAU",NA,"Asia"
"598",1962,"SDN",11009705630.7702,"Africa"
"599",1962,"SEN",3955105278.58033,"Africa"
"600",1962,"SGP",6911841722.43236,"Asia"
"601",1962,"SLB",NA,"Oceania"
"602",1962,"SLE",1225932543.46987,"Africa"
"603",1962,"SLV",NA,"Americas"
"604",1962,"SMR",NA,"Europe"
"605",1962,"SOM",NA,"Africa"
"606",1962,"SRB",NA,"Europe"
"607",1962,"SSD",NA,"Africa"
"608",1962,"STP",NA,"Africa"
"609",1962,"SUR",1132261747.88128,"Americas"
"610",1962,"SVK",NA,"Europe"
"611",1962,"SVN",NA,"Europe"
"612",1962,"SWE",136280798857.2,"Europe"
"613",1962,"SWZ",NA,"Africa"
"614",1962,"SXM",NA,"Americas"
"615",1962,"SYC",136044543.02382,"Africa"
"616",1962,"SYR",3306320337.63022,"Asia"
"617",1962,"TCA",NA,"Americas"
"618",1962,"TCD",1812913107.89905,"Africa"
"619",1962,"TGO",623680241.035491,"Africa"
"620",1962,"THA",18028024108.366,"Asia"
"621",1962,"TJK",NA,"Asia"
"622",1962,"TKM",NA,"Asia"
"623",1962,"TLS",NA,"Asia"
"624",1962,"TON",NA,"Oceania"
"625",1962,"TTO",4320089182.25291,"Americas"
"626",1962,"TUN",NA,"Africa"
"627",1962,"TUR",73627922579.9898,"Asia"
"628",1962,"TUV",NA,"Oceania"
"629",1962,"TZA",NA,"Africa"
"630",1962,"UGA",NA,"Africa"
"631",1962,"UKR",NA,"Europe"
"632",1962,"URY",15705125907.712,"Americas"
